question_id,question_text,priority,pattern_id,pattern_name,solving_formula,notes
117,"As the PM for Lyft, what dashboard would you build to track the health of the app?",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Health monitoring; dashboard design
181,"Create geographic and demographic dashboards for weekly, monthly, and yearly analytics using order data (100M daily records for 5 years) and customer data (1B customers).",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Dashboard design; analytics at scale
285,Design a dashboard that helps sales leaders monitor their product's performance.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Dashboard design; sales monitoring
361,Design a metrics and logging service.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; metrics service
362,Design a metrics service.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; metrics service
367,Design a monitoring system for 1000 web servers.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; monitoring
368,Design a monitoring system for TikTok.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; monitoring
479,"Design a smart electric meter software system for an apartment building featuring separate dashboards for tenants and the owner, showing electricity usage by specific units and floors.",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; energy monitoring
565,Design an alarm system for streaming metrics.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; monitoring alerts
568,Design an analytics platform.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; analytics platform
625,Design an ML experiment tracking and analysis platform.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; ML platform
626,"Design an ML monitoring system for a fantasy sports app, focusing on drift, performance, outliers, and quality.",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,System design; ML monitoring
975,"Given profiler samples from running code, find the slowest part in the code.",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Performance analysis; profiling
1081,How do you determine the health of the engineering or product backlog?,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Backlog health; observability
1102,How do you gather health data for deployed microservices?,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Health monitoring; observability
1239,How would you address a latency problem?,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Latency issue; performance optimization
1370,How would you handle a task in a nightly job that fails unexpectedly during 10 percent of the runs?,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Job failure; observability
1373,How would you handle scheduling dependencies between two nightly Jobs to ensure the second Job does not fail if the first Job runs longer than expected?,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Job scheduling; observability
1374,"How would you handle slow query performance for a single-user SQL endpoint in Databricks, where all sequentially run queries are affected?",ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Query performance; observability
2064,Tell me about a time you had to work with the engineering team for a failure analysis.,ðŸŸ¡,L5,Observability,Key Metrics â†’ Alerts â†’ Dashboards â†’ Escalation,Failure analysis; behavioral question
